,Stock Name,3M Price Chart,Market Cap (Cr),LTPLast Traded Price,Day High Low (%),Week High Low (%),Month High Low (%),Qtr High Low(%),1 Year High low(%),3 Year High low(%),5 Year High low(%),10 Year High low(%)
174,Aavas Financiers Ltd.,,12326.7,1558.7,L  2.2%  H  1528  1572.2,L  -0.3%  H  1514.2  1574.7,L  15.4%  H  1335.6  1595.0,L  -13.0%  H  1335.5  1810.4,L  -20.5%  H  1335.5  2411.4,L  22.9%  H  1268  3340,L  ;  H  612.3  3340,L  ;  H  612.3  3340
175,DCM Shriram Ltd.,,14002.8,898.0,L  -0.9%  H  888.5  918.0,L  0.5%  H  881  950,L  5.5%  H  847.7  950,L  6.1%  H  772.1  950,L  -6.6%  H  730.2  1121,L  176.5%  H  313.3  1263.9,L  170.4%  H  172.6  1263.9,L  1441.5%  H  50  1263.9
176,Suzlon Energy Ltd.,,21721.4,17.7,L  0.9%  H  17.3  17.9,L  -0.8%  H  17.1  18.6,L  22.9%  H  13.3  18.6,L  119.9%  H  7.9  18.6,L  178.7%  H  5.9  18.6,L  276.6%  H  2.7  18.6,L  139.2%  H  1.7  18.6,L  100%  H  1.7  36.8
177,Swan Energy Ltd.,,6089.9,230.8,L  1.5%  H  222.1  231.8,L  -11.9%  H  222.1  271.2,L  -2.4%  H  222.1  283.9,L  2.8%  H  208.1  283.9,L  23.1%  H  185.7  379,L  59.6%  H  108  379,L  41.8%  H  86  379,L  308.4%  H  49.5  379
178,Deepak Fertilisers & Petro...,,7566.7,599.4,L  0.3%  H  595.6  605,L  -2.4%  H  592.8  619.8,L  4.9%  H  560  619.8,L  -6.6%  H  531  646.4,L  -5.4%  H  512.4  1062,L  422.1%  H  111.5  1062,L  138.0%  H  57.2  1062,L  517.0%  H  57.2  1062
179,Deepak Nitrite Ltd.,,26512.1,1943.8,L  1.0%  H  1916.3  1946,L  -5.8%  H  1900.2  2082.4,L  -8.1%  H  1900.2  2282.1,L  3.9%  H  1812.8  2282.1,L  9.6%  H  1730  2356.6,L  254.2%  H  511.3  3020,L  711.8%  H  205.1  3020,L  7347.5%  H  21.7  3020
180,Delta Corp Ltd.,,4927.0,184.0,L  2.5%  H  179.1  186.3,L  -25.9%  H  175.7  248,L  -24.4%  H  175.7  260.0,L  -3.3%  H  175.7  260.0,L  3.6%  H  173.7  260.0,L  105.8%  H  85.1  339.7,L  -17.3%  H  53.8  339.7,L  253.2%  H  44.0  401.6
181,Tanla Platforms Ltd.,,15007.8,1116.7,L  4.0%  H  1075.1  1129.4,L  9.0%  H  995  1142.3,L  11.8%  H  971.1  1142.3,L  78.6%  H  615.4  1142.3,L  19.1%  H  493  1142.3,L  1271.8%  H  82.5  2096.8,L  2600.5%  H  28  2096.8,L  33232.8%  H  2.4  2096.8
182,Tata Chemicals Ltd.,,25055.3,983.5,L  0.7%  H  977  990.6,L  -1.9%  H  971.4  1007,L  0.6%  H  953.5  1029,L  -4.2%  H  921.7  1029.9,L  16.9%  H  841  1214.9,L  221.8%  H  273.5  1214.9,L  39.3%  H  197  1214.9,L  243.7%  H  197  1214.9
183,Rail Vikas Nigam Ltd.,,24916.0,119.5,L  0.7%  H  118.9  121.9,L  -2.0%  H  117.1  125.2,L  -3.4%  H  117.1  127.8,L  62.5%  H  72.6  144.4,L  289.3%  H  30.3  144.4,L  524.0%  H  18.1  144.4,L  ;  H  10  144.4,L  ;  H  10  144.4
184,Metropolis Healthcare Ltd.,,7357.3,1436.4,L  0.7%  H  1418.8  1441.9,L  -1.2%  H  1418.6  1475,L  9.4%  H  1315.7  1520.0,L  11.3%  H  1209.3  1520.0,L  -0.4%  H  1171.4  1791.2,L  -7.7%  H  1171.4  3579.9,L  ;  H  907  3579.9,L  ;  H  907  3579.9
185,Polycab India Ltd.,,58076.5,3874.4,L  1.6%  H  3824.1  3887.0,L  10.4%  H  3506.6  3887.0,L  8.0%  H  3379.8  3887.0,L  25.6%  H  3060  3887.0,L  80.6%  H  2104  3887.0,L  379.1%  H  798  3887.0,L  ;  H  525.2  3887.0,L  ;  H  525.2  3887.0
186,Divi's Laboratories Ltd.,,97618.1,3677.2,L  1.6%  H  3627  3690,L  0.2%  H  3590.8  3697,L  5.5%  H  3450.1  3775,L  15.5%  H  3051  3775,L  -1.5%  H  2730  3973.9,L  65.8%  H  2177.1  5425.1,L  231.8%  H  1040  5425.1,L  628.1%  H  452.6  5425.1
187,DLF Ltd.,,122070.0,493.2,L  0.2%  H  491.2  496.5,L  -1.9%  H  485.6  505.6,L  -2.1%  H  469.7  517.6,L  19.4%  H  402  517.6,L  41.5%  H  336.5  517.6,L  252.5%  H  134.5  517.6,L  162.7%  H  114.6  517.6,L  178.6%  H  72.4  517.6
188,Bharat Dynamics Ltd.,,21649.2,1181.2,L  -2.7%  H  1175.1  1224.9,L  7.1%  H  1077.5  1278,L  6.9%  H  1063.0  1278,L  19.5%  H  965.6  1278,L  70.3%  H  678.9  1278,L  204.0%  H  280.4  1278,L  220.3%  H  145.3  1278,L  ;  H  145.3  1278
189,Tata Communications Ltd.,,46268.3,1623.5,L  2.5%  H  1585  1637,L  4.8%  H  1526.9  1660.0,L  -1%  H  1512.5  1665,L  28.2%  H  1172  1674,L  68.2%  H  965  1674,L  132.2%  H  615  1674,L  170.1%  H  200  1674,L  839.2%  H  137.2  1674
190,Tata Elxsi Ltd.,,48144.3,7730.8,L  2.2%  H  7577.9  7750,L  2.5%  H  7310  7750,L  -0.3%  H  7310  7885,L  23.0%  H  6180  7947,L  -0.9%  H  5709.1  10760,L  767.0%  H  885  10760,L  440.7%  H  500.0  10760,L  7800.6%  H  78.3  10760
191,Tata Consumer Products Ltd.,,79105.3,851.5,L  1.7%  H  833.6  852.8,L  2.2%  H  822  852.8,L  -1.3%  H  822  877.2,L  18.3%  H  696.5  877.2,L  11.2%  H  686.6  877.2,L  103.1%  H  402.4  889,L  228.9%  H  177.1  889,L  476.9%  H  100  889
192,Tata Investment Corporatio...,,11828.2,2337.8,L  0.5%  H  2305.5  2349.5,L  1.1%  H  2280  2382.0,L  -2.0%  H  2280  2494,L  13.2%  H  2046  2494,L  71.9%  H  1333  2883.4,L  211.9%  H  725  2883.4,L  183.5%  H  591  2883.4,L  437.2%  H  346.1  2883.4
193,Tata Motors Ltd.,,207559.9,624.9,L  0.7%  H  619.5  626,L  1.1%  H  615.5  634.8,L  9.6%  H  557.7  634.8,L  33.1%  H  465.8  634.8,L  46.0%  H  375.2  634.8,L  494.3%  H  100.6  634.8,L  137.1%  H  63.5  634.8,L  113.6%  H  63.5  634.8
194,Tata Motors Limited (DVR),,-,337.2,L  0.3%  H  334  340.5,L  4.0%  H  323.7  345,L  5.0%  H  294.4  345,L  43.2%  H  234.3  345,L  54.0%  H  189.5  345,L  722.3%  H  36.9  345,L  124.5%  H  28.4  345,L  137.8%  H  28.4  391.4
195,Max Healthcare Institute Ltd.,,58357.9,600.8,L  -3.0%  H  595.1  622.1,L  -1.5%  H  595.1  623.2,L  3.0%  H  565.3  630,L  27.4%  H  435.1  630,L  60.8%  H  353.6  630,L  ;  H  97.2  630,L  ;  H  97.2  630,L  ;  H  97.2  630
196,Dr. Reddy's Laboratories Ltd.,,84810.9,5092.1,L  -1.0%  H  5076.3  5164.9,L  -1.8%  H  5076.3  5215,L  8.4%  H  4696  5273.2,L  4.9%  H  4384.1  5273.2,L  11.3%  H  3997  5273.2,L  27.8%  H  3654  5614.6,L  119.5%  H  1873.0  5614.6,L  116.7%  H  1873.0  5614.6
197,Tata Power Company Ltd.,,70633.0,221.1,L  -0.4%  H  218.6  222.8,L  -3.1%  H  218.6  229.3,L  -1.4%  H  215.7  232.4,L  12.6%  H  193.1  232.4,L  -0.1%  H  182.4  251.2,L  359.1%  H  46.0  298.1,L  215.1%  H  27  298.1,L  146.7%  H  27  298.1
198,Tata Steel Ltd.,,143175.3,117.2,L  2%  H  114.8  117.9,L  5.0%  H  111.7  117.9,L  2.9%  H  108.1  117.9,L  9.0%  H  104.1  117.9,L  29.0%  H  87.8  124.3,L  248.0%  H  33.2  153.5,L  109.7%  H  25.1  153.5,L  346.1%  H  19.5  153.5
199,Transport Corporation of I...,,5849.2,753.4,L  2.5%  H  734  771.9,L  3.3%  H  725.6  771.9,L  4.5%  H  706.3  771.9,L  23.0%  H  591  771.9,L  3.6%  H  555.3  845.0,L  343.4%  H  162.3  858.6,L  162.5%  H  121.6  858.6,L  1362.9%  H  44.0  858.6
200,Godrej Agrovet Ltd.,,8820.4,458.9,L  0.4%  H  457  461.9,L  -0.7%  H  456.3  471.6,L  1.9%  H  443.0  485,L  5.2%  H  417.2  485,L  -8.2%  H  390.9  557.7,L  4.0%  H  390.9  746.8,L  -24.8%  H  265.1  746.8,L  ;  H  265.1  746.8
201,Tata Consultancy Services ...,,1286028.5,3514.7,L  5.2%  H  3352  3524.9,L  5.6%  H  3250.1  3524.9,L  8.1%  H  3156  3524.9,L  10.2%  H  3070.3  3524.9,L  17.2%  H  2926.1  3575,L  61.8%  H  2125.1  4043,L  77.4%  H  1506.1  4043,L  336.6%  H  799.7  4043
202,Tech Mahindra Ltd.,,119762.3,1228.7,L  4.5%  H  1183  1232,L  6.3%  H  1135.6  1232,L  14.0%  H  1069.4  1232,L  13.1%  H  981.1  1232,L  25.9%  H  965.1  1232,L  105.4%  H  588.1  1838,L  91.7%  H  471.4  1838,L  338.1%  H  270.5  1838
203,eClerx Services Ltd.,,8318.0,1731.7,L  2.0%  H  1705  1742.7,L  2.3%  H  1671.5  1790,L  8.3%  H  1598.0  1820.0,L  29.4%  H  1272  1820.0,L  25.2%  H  1221  1820.0,L  435.6%  H  307.0  1980,L  99.6%  H  213.3  1980,L  338.7%  H  213.3  1980
204,Eicher Motors Ltd.,,91594.6,3347.1,L  2.8%  H  3256  3365,L  5.1%  H  3160  3365,L  -6.3%  H  3160  3666,L  4.2%  H  3156.2  3748,L  13.3%  H  2836  3889.7,L  77.6%  H  1832.5  3889.7,L  21.6%  H  1245.0  3889.7,L  784.7%  H  296.5  3889.7
205,EID Parry (India) Ltd.,,8057.5,453.9,L  -0.2%  H  452.6  458.1,L  -2.8%  H  452.4  474.4,L  -3.3%  H  452.4  489.8,L  -11.6%  H  452.4  523.9,L  -17.0%  H  433.2  670,L  61.7%  H  260.1  670,L  103.4%  H  102.2  670,L  212.7%  H  102.2  670
206,EIH Ltd.,,13279.6,212.4,L  1.0%  H  209.6  216.0,L  3.0%  H  203.4  222,L  -0.1%  H  203.3  222,L  24.2%  H  168.5  222,L  63.3%  H  129.6  222,L  236.5%  H  59.3  222,L  31.2%  H  54.8  222,L  301.0%  H  43.5  231.6
207,Thermax Ltd.,,27750.3,2328.9,L  -0.3%  H  2308.8  2348,L  2.4%  H  2251  2348,L  -1.4%  H  2191.9  2424.5,L  2.4%  H  2191.9  2560,L  14.0%  H  1830.7  2679,L  201.8%  H  704.0  2679,L  123.9%  H  570  2679,L  289.3%  H  530  2679
208,Greenpanel Industries Ltd.,,4330.6,353.2,L  -0.8%  H  352.1  361,L  2.1%  H  341  362,L  2.3%  H  309.3  362,L  28.6%  H  269.5  362,L  -24.5%  H  255  523,L  831.8%  H  35.9  625.7,L  ;  H  24  625.7,L  ;  H  24  625.7
209,Elgi Equipments Ltd.,,18157.3,573.0,L  1.1%  H  564  581.4,L  6.4%  H  535.4  623,L  4.6%  H  525.1  623,L  22.9%  H  428.5  623,L  53.3%  H  354  623,L  643.3%  H  77.6  623,L  300.3%  H  50.6  623,L  1297.4%  H  38.1  623
210,Emami Ltd.,,18162.5,413.7,L  -0.3%  H  412  420,L  -1.8%  H  412  429.5,L  9%  H  373.7  437.9,L  14.7%  H  357.7  437.9,L  -12.2%  H  340.6  524,L  68.2%  H  231.2  621.8,L  -22.0%  H  131.0  621.8,L  66.7%  H  131.0  682.5
211,Timken India Ltd.,,25842.9,3435.7,L  -1.0%  H  3425.5  3485.7,L  3.5%  H  3308.1  3487.4,L  -0.3%  H  3134.2  3564.8,L  15.6%  H  2863.6  3564.8,L  33.3%  H  2566  3758,L  238.4%  H  927.5  3758,L  366.1%  H  500  3758,L  2058.8%  H  148  3758
212,SBI Cards and Payment Serv...,,79475.3,839.8,L  0.5%  H  834.5  846.9,L  0.4%  H  822  854.5,L  -8.9%  H  822  925,L  10.7%  H  748.1  933,L  -0.7%  H  695.6  1028.7,L  21.5%  H  655.7  1165,L  ;  H  495  1165,L  ;  H  495  1165
213,Titan Company Ltd.,,271267.5,3055.6,L  -1.0%  H  3042.6  3097.4,L  -2.8%  H  3030.3  3155,L  5.1%  H  2900  3210,L  18.2%  H  2559.3  3210,L  43.6%  H  2132.2  3210,L  213.8%  H  941.8  3210,L  264.3%  H  720.9  3210,L  1124.7%  H  202.5  3210
214,Engineers India Ltd.,,7123.9,126.8,L  3.1%  H  122  128,L  4.1%  H  118.3  128,L  14.0%  H  107.5  128,L  69%  H  74.6  128,L  109.5%  H  60.2  128,L  78.9%  H  56  128,L  3.0%  H  49.2  139.7,L  81.5%  H  49.2  206.4
215,Torrent Pharmaceuticals Ltd.,,65834.4,1945.2,L  0.8%  H  1916.4  1949,L  2.3%  H  1888.2  1950.4,L  6.2%  H  1795  1984.3,L  23.3%  H  1564.6  1984.3,L  29.7%  H  1430  1984.3,L  60.7%  H  1115.9  1984.3,L  169.8%  H  702.3  1984.3,L  768.9%  H  192.5  1984.3
216,Torrent Power Ltd.,,29339.3,610.5,L  -0.3%  H  608.5  618.5,L  -3.7%  H  607.8  637.5,L  -7.9%  H  588.1  686.0,L  13.3%  H  513.8  748.9,L  24.6%  H  430.9  748.9,L  88.0%  H  293  748.9,L  170.6%  H  211.5  748.9,L  495.0%  H  66.6  748.9
217,Escorts Kubota Ltd.,,26262.7,2376.8,L  2.6%  H  2317  2392,L  7.4%  H  2192  2392,L  8.8%  H  2117.2  2392,L  21.1%  H  1932.1  2392,L  46.9%  H  1604.7  2392,L  120.1%  H  1075.5  2392,L  161.6%  H  423.6  2392,L  2696.2%  H  64  2392
218,Trent Ltd.,,59993.8,1687.7,L  1.3%  H  1657.5  1693.8,L  -0.9%  H  1657.5  1718.0,L  -1.4%  H  1657.5  1792.0,L  23.9%  H  1306.2  1792.0,L  43.1%  H  1155  1792.0,L  168.0%  H  540.6  1792.0,L  396.9%  H  315.1  1792.0,L  1574.3%  H  88.9  1792.0
219,Trident Ltd.,,16791.2,33.0,L  0.8%  H  32.6  33.2,L  -2.1%  H  32.6  33.9,L  -0.9%  H  32.6  35.4,L  4.8%  H  30.3  36.9,L  -8.7%  H  25.1  43.8,L  410.9%  H  5.9  70.4,L  476.0%  H  3.1  70.4,L  4018.8%  H  0.6  70.4
220,EPL Ltd.,,7021.3,220.7,L  1.5%  H  217.1  222.4,L  1.8%  H  216.2  223.9,L  10.0%  H  197.8  227.6,L  38.8%  H  158.1  227.6,L  30.3%  H  147  227.6,L  18.9%  H  147  318.6,L  109.8%  H  78.8  318.6,L  977.4%  H  17.1  318.6
221,Triveni Turbine Ltd.,,12564.1,395.3,L  -1.7%  H  392.2  400,L  -2.2%  H  385.2  408.2,L  -3.7%  H  385.2  430.5,L  15.8%  H  326.5  430.5,L  151.8%  H  154.1  430.5,L  477.9%  H  61.8  430.5,L  238.8%  H  45.5  430.5,L  614.7%  H  40.2  430.5
222,Triveni Engineering & Indu...,,6165.3,281.7,L  1.1%  H  279.4  283.7,L  0.3%  H  275.1  286.6,L  -2%  H  275.1  296.5,L  6.0%  H  261.1  302.7,L  16.3%  H  217.6  311.4,L  398.5%  H  54  374.5,L  638.3%  H  28.7  374.5,L  1822.5%  H  10.4  374.5
223,TTK Prestige Ltd.,,10770.3,777.0,L  2.1%  H  755.2  780.1,L  5.0%  H  741.3  780.1,L  7.4%  H  721.9  780.1,L  9.0%  H  672  780.1,L  -7.2%  H  652.4  1049.9,L  43.1%  H  502  1264.7,L  59.7%  H  390.1  1264.7,L  143.2%  H  224.4  1264.7
224,Tata Teleservices (Maharas...,,14769.5,75.6,L  3.5%  H  73.4  76.2,L  2.9%  H  72.2  76.6,L  -0.5%  H  70.7  80.8,L  21.3%  H  59.5  84.3,L  -34.4%  H  49.7  149,L  2028.2%  H  2.7  290.2,L  1657.0%  H  1.8  290.2,L  1106.9%  H  1.8  290.2
225,Cholamandalam Financial Ho...,,17370.4,925.1,L  -0.8%  H  920  944,L  0.0%  H  917.1  959.5,L  4.6%  H  855.6  965,L  53.9%  H  562.2  965,L  44.8%  H  511.3  965,L  188.0%  H  315.3  965,L  42.9%  H  222.4  965,L  ;  H  168  965
226,CSB Bank Ltd.,,5062.3,291.8,L  -1.3%  H  288  296.7,L  1.1%  H  286.9  300,L  6.1%  H  263.1  300,L  8.5%  H  263.1  300,L  45.6%  H  195.3  300,L  61.4%  H  175.6  374,L  ;  H  95.6  374,L  ;  H  95.6  374
227,Exide Industries Ltd.,,21611.3,254.3,L  1.0%  H  251.7  257.5,L  2.6%  H  247  257.5,L  21.0%  H  206.2  257.5,L  37.1%  H  184.4  257.5,L  70.9%  H  148.1  257.5,L  65.7%  H  130.3  257.5,L  -4.0%  H  124.7  304.7,L  105.6%  H  99  304.7
228,The Fertilisers and Chemic...,,31965.4,494.0,L  1.0%  H  486.1  505.7,L  5.3%  H  435.2  510.8,L  31.1%  H  372  510.8,L  54.0%  H  294  510.8,L  400.8%  H  97  510.8,L  965.8%  H  41.2  510.8,L  1043.5%  H  20.5  510.8,L  2298.1%  H  15.8  510.8
229,Schaeffler India Ltd.,,48458.8,3100.3,L  0.3%  H  3088.5  3150.2,L  2.4%  H  2976  3150.2,L  1.3%  H  2976  3294.1,L  3.0%  H  2685  3294.1,L  29.6%  H  2377  3969.9,L  333.2%  H  685.1  3969.9,L  187.1%  H  605.1  3969.9,L  967.7%  H  216  3969.9
230,TV18 Broadcast Ltd.,,6608.9,38.6,L  0.8%  H  38.1  38.9,L  -0.8%  H  38.1  40,L  1.1%  H  36.9  42.5,L  27.7%  H  28.2  42.5,L  0.8%  H  27.4  45.2,L  3.6%  H  26.3  82.6,L  -17.3%  H  11.9  82.6,L  69.1%  H  11.9  82.6
231,TVS Motor Company Ltd.,,64172.4,1350.8,L  1.6%  H  1322.7  1352.9,L  2.2%  H  1306.3  1355,L  0.4%  H  1289  1360.8,L  16.2%  H  1084  1384.8,L  61.5%  H  836.5  1384.8,L  253.1%  H  382.3  1384.8,L  131.1%  H  240.1  1384.8,L  4081.9%  H  28.1  1384.8
232,Adani Total Gas Ltd.,,69717.0,633.9,L  0.6%  H  625  638,L  -1.5%  H  625  652.0,L  -3.1%  H  620.1  683,L  -30.7%  H  620.1  990,L  -77.1%  H  620.1  4000,L  325.6%  H  143.1  4000,L  ;  H  72  4000,L  ;  H  72  4000
233,FDC Ltd.,,5475.9,330.1,L  1.8%  H  324.8  335.0,L  -2.6%  H  321.1  339.4,L  6.8%  H  304.5  344,L  23.5%  H  262  344,L  24.8%  H  245.3  344,L  27.2%  H  225  404.9,L  37.5%  H  148.3  404.9,L  262.5%  H  79.9  404.9
234,Federal Bank Ltd.,,27382.9,129.3,L  2.0%  H  126.6  130,L  -4.3%  H  126.5  136.4,L  3.9%  H  121  136.5,L  0.9%  H  121  140.3,L  33.0%  H  96.4  143.4,L  153.0%  H  45.4  143.4,L  66.0%  H  35.7  143.4,L  226.6%  H  22.3  143.4
235,United Breweries Ltd.,,39934.4,1510.4,L  0.6%  H  1495.1  1514.8,L  0.4%  H  1470.1  1514.8,L  1.8%  H  1470.1  1553.7,L  8.8%  H  1372.3  1553.7,L  -8.4%  H  1353.5  1806.5,L  50.4%  H  897  1806.5,L  26.5%  H  749.5  1806.5,L  84.8%  H  615.7  1806.5
236,UCO Bank,,33237.6,27.8,L  -0.4%  H  27.5  28.2,L  -3.5%  H  27.5  29.6,L  4.5%  H  26.1  29.6,L  5.5%  H  25.7  31.6,L  149.3%  H  11.0  38.2,L  109.0%  H  10.6  38.2,L  54.0%  H  8.4  38.2,L  -58.7%  H  8.4  115.6
237,Finolex Cables Ltd.,,13376.1,874.6,L  1.1%  H  858  884.5,L  6.3%  H  804.7  912.8,L  5.1%  H  780.5  912.8,L  4.4%  H  774.1  937,L  113.3%  H  393.2  937,L  212.6%  H  255.5  937,L  45.8%  H  162.4  937,L  1509.2%  H  49.7  937
238,Finolex Industries Ltd.,,10942.1,176.4,L  1%  H  175  177.6,L  2.4%  H  170.1  177.6,L  0.9%  H  170.1  180.5,L  3.4%  H  161.5  195.5,L  33.2%  H  121.5  195.5,L  88.0%  H  87.6  244.5,L  57.7%  H  58.0  244.5,L  604.6%  H  19.9  244.5
239,Uflex Ltd.,,3104.0,429.9,L  0.4%  H  424  433,L  -0.9%  H  423  440.9,L  3.1%  H  407.9  441.9,L  12%  H  378  450,L  -31.5%  H  325.1  811,L  71.4%  H  241.3  811,L  63.7%  H  118.3  811,L  612.9%  H  46  811
240,UltraTech Cement Ltd.,,236219.0,8182.6,L  -0.6%  H  8148  8299,L  -1.9%  H  8148  8443.3,L  -2.1%  H  8060  8499,L  6.9%  H  7300  8499,L  42.7%  H  5701  8499,L  117.0%  H  3735  8499,L  106.4%  H  2910  8499,L  321.8%  H  1402.4  8499
241,Union Bank of India,,55395.6,81.1,L  0.3%  H  79.9  82.0,L  1.3%  H  79.9  83.2,L  12.6%  H  68  83.2,L  16.3%  H  68  83.2,L  121.8%  H  36  96.4,L  166.2%  H  23.1  96.4,L  5.8%  H  22.7  100.4,L  -53.8%  H  22.7  259.7
242,Fortis Healthcare Ltd.,,24690.9,327.1,L  -1%  H  324.2  329,L  0.4%  H  318.1  334.6,L  11.5%  H  295.3  334.6,L  23.3%  H  254.8  334.6,L  26.2%  H  245.5  334.6,L  156.7%  H  123.2  334.6,L  121.3%  H  111.3  334.6,L  227.1%  H  92.8  334.6
243,Firstsource Solutions Ltd.,,9256.0,132.8,L  4.3%  H  126.7  134.4,L  4.3%  H  124.5  134.4,L  1.5%  H  122.2  134.4,L  16.8%  H  111.2  137.2,L  30.3%  H  96.3  137.2,L  224.7%  H  41  242.9,L  78.9%  H  20.1  242.9,L  966.7%  H  11  242.9
244,Gujarat Ambuja Exports Ltd.,,5767.8,251.5,L  5.3%  H  238.8  253.9,L  4.4%  H  235.7  253.9,L  1.4%  H  235.7  254.9,L  -5.3%  H  232.3  299.3,L  -19.1%  H  222.4  327,L  255.6%  H  71  394.2,L  150.3%  H  42.5  394.2,L  2246.1%  H  8  394.2
245,GAIL (India) Ltd.,,72326.1,110.0,L  1.8%  H  107.5  110.6,L  -0.6%  H  107.5  111.4,L  2.6%  H  103.3  112.1,L  1.7%  H  103.0  114.0,L  18.5%  H  83  114.0,L  66.6%  H  54.1  115.7,L  -7.5%  H  43.3  133.1,L  81.9%  H  43.3  133.1
246,UPL Ltd.,,48005.1,639.6,L  1.4%  H  631.5  640.1,L  -3.5%  H  630  666.5,L  -6.3%  H  630  696,L  -13.2%  H  630  760.0,L  -4.6%  H  630  807,L  46.2%  H  399  864.7,L  70.5%  H  240.2  864.7,L  569.2%  H  80.6  864.7
247,Life Insurance Corporation...,,391327.6,618.7,L  0.5%  H  615.8  620,L  -0.6%  H  614.3  629.9,L  3.8%  H  595.1  654,L  12.3%  H  543  654,L  -13.1%  H  530.1  754.3,L  ;  H  530.1  919.0,L  ;  H  530.1  919.0,L  ;  H  530.1  919.0
248,Vaibhav Global Ltd.,,5016.7,303.8,L  0.2%  H  300  305.2,L  -1.8%  H  300  311.9,L  -1.4%  H  300  317.9,L  -0.9%  H  295.1  326.9,L  2%  H  268.7  418,L  21.2%  H  252.0  1050,L  122.3%  H  110.3  1050,L  846.9%  H  32.0  1050
249,Garware Technical Fibres Ltd.,,6370.7,3126.3,L  1.0%  H  3080  3135.0,L  -1.3%  H  3077  3216.2,L  0.3%  H  3062.6  3234.6,L  7.7%  H  2800.1  3234.6,L  0.6%  H  2650  3754.9,L  106.1%  H  1473.2  4030,L  154.3%  H  885  4030,L  7170.3%  H  37.1  4030
250,Great Eastern Shipping Com...,,11260.8,788.8,L  3.4%  H  767.1  820,L  6.4%  H  728.1  820,L  9.3%  H  692.2  820,L  21.7%  H  625.6  820,L  102.3%  H  389.1  820,L  261.8%  H  209  820,L  190.9%  H  162  820,L  267.0%  H  162  820
251,V-Guard Industries Ltd.,,12292.7,283.6,L  -0.6%  H  282  288.3,L  -1.4%  H  279.9  297.0,L  11.9%  H  250.9  297.0,L  10.8%  H  239  297.0,L  26.0%  H  221.6  297.0,L  65.3%  H  159.4  297.0,L  47.8%  H  149  297.0,L  699.9%  H  29.0  297.0
252,Vinati Organics Ltd.,,18565.0,1806.3,L  0.2%  H  1800.5  1811.9,L  -0.8%  H  1800  1831.0,L  -1.5%  H  1800  1874.7,L  -10.9%  H  1763  2034,L  -11.1%  H  1692.6  2377,L  85.5%  H  960.5  2377,L  273.3%  H  455.0  2377,L  3492.4%  H  41.5  2377
253,GlaxoSmithKline Pharmaceut...,,23503.4,1387.4,L  -1.0%  H  1386  1403,L  -0.9%  H  1380.4  1412.7,L  -1.8%  H  1380.4  1449.9,L  10.3%  H  1227  1449.9,L  -7.7%  H  1227  1528.8,L  -7.7%  H  1227  1918.8,L  -2.5%  H  962.7  1918.8,L  8.7%  H  962.7  1936
254,Glenmark Pharmaceuticals Ltd.,,19811.0,702.1,L  2.8%  H  681.1  704.9,L  1.9%  H  661  704.9,L  10.1%  H  621.8  704.9,L  43.2%  H  487.5  704.9,L  80.4%  H  360.5  704.9,L  72.5%  H  348.5  704.9,L  24.2%  H  161.7  711.9,L  17.2%  H  161.7  1262.9
255,VIP Industries Ltd.,,8307.3,586.2,L  -0.9%  H  573.6  593.5,L  -3.3%  H  573.6  614,L  -6.6%  H  573.6  662.9,L  -2.0%  H  566  662.9,L  -6.9%  H  549.5  765,L  128.7%  H  252  774.6,L  41.6%  H  187.7  774.6,L  1073.5%  H  38.9  774.6
256,GMR Airports Infrastructur...,,27041.0,44.8,L  1.4%  H  44.1  45.1,L  -0.8%  H  44  45.9,L  3.7%  H  41.8  45.9,L  2.1%  H  40  47.4,L  29.7%  H  33.4  47.4,L  125.1%  H  19.3  49.2,L  151.7%  H  13.0  49.2,L  153.1%  H  9.8  49.2
257,Gujarat Narmada Valley Fer...,,9228.8,593.8,L  1.3%  H  582.0  595.2,L  -0.7%  H  582.0  609,L  0.0%  H  570.7  615.5,L  8.8%  H  522  666.6,L  -3.0%  H  484.5  798.5,L  261.9%  H  156.2  912,L  42.7%  H  95.6  912,L  689.6%  H  53.4  912
258,V-Mart Retail Ltd.,,4395.0,2222.8,L  -0.4%  H  2202.1  2240,L  2%  H  2150  2250,L  5.9%  H  2063.5  2372.2,L  3.6%  H  1954.1  2372.2,L  -17.3%  H  1954.1  3174.9,L  18.5%  H  1710  4848.8,L  -15.3%  H  1200  4848.8,L  1383.8%  H  132.6  4848.8
259,Godfrey Phillips India Ltd.,,8577.7,1649.8,L  1.0%  H  1623  1659,L  -4.3%  H  1620  1715,L  -6.3%  H  1620  1769,L  -7.8%  H  1620  1819,L  53.9%  H  1047  2149,L  73.6%  H  841.5  2149,L  126.1%  H  640.3  2149,L  201.2%  H  416.2  2149
260,Godrej Consumer Products Ltd.,,108708.2,1063.0,L  0.9%  H  1056.9  1069.4,L  0.0%  H  1048.4  1074.8,L  -0.6%  H  1029.6  1102.1,L  10.4%  H  897  1102.1,L  21.4%  H  793.9  1102.1,L  53.0%  H  641  1138,L  21.7%  H  425.1  1138,L  275.2%  H  222.3  1138
261,Godrej Industries Ltd.,,16470.8,489.2,L  -0.1%  H  488  495,L  -2.0%  H  483.4  504.7,L  0.9%  H  475.1  523.4,L  10.4%  H  432  523.4,L  10.9%  H  395  523.4,L  35.9%  H  345  662,L  -16.3%  H  233.4  662,L  64.0%  H  217.5  699
